ANNEES;CODDEP;POP_IMMIGRES;TAUX_IMMIGRATION;PART_FRANCAIS;PART_ETRANGER;PART_HOMMES;PART_FEMMES;PART_0_14;PART_15_29;PART_30_44;PART_45_59;PART_60_74;PART_75_PLUS;PART_HOMMES_15_29;PART_FEMMES_15_29;PART_CS1_AGRICULTEURS;PART_CS2_ARTISANS_COMMERCANTS;PART_CS3_CADRES_PROF_SUP;PART_CS4_PROF_INTERMEDIAIRES;PART_CS5_EMPLOYES;PART_CS6_OUVRIERS;PART_CS7_RETRAITES;PART_CS8_AUTRES;POP_TOTALE;taux_crime_cheques;taux_crime_plaintes;taux_crime_vols_vehicules;taux_crime_stupefiants;taux_crime_vols_victime;taux_crime_violences;taux_crime_autres;taux_crime_infractions_pub;Taux_chomage;MEDIANE;RAPPORT_INTERDECILE
2006;25;38371,63055;0,074340899;0,948189101;0,051810898;0,491295583;0,508704417;0,185936094;0,207079614;0,20647258;0,199090128;0,127364859;0,074056723;0,105941897;0,101137718;0,009320901;0,022935331;0,054541581;0,109915569;0,125360424;0,150400706;0,197395151;0,143259153;516157,745;196,6453104;915,030346;768,9509726;218,1503641;1019,649526;438,6255989;564,5560932;534,1390354;0,08275;17018;4,6
2006;26;30239,67226;0,064530432;0,955358995;0,044641005;0,485966705;0,514033295;0,186541804;0,17049537;0,204186859;0,20651785;0,143349097;0,08890902;0,087768415;0,082726955;0,013956667;0,031265336;0,047865378;0,109826703;0,126179834;0,122358321;0,223077947;0,137640284;468611,0339;178,3995552;913,1240389;1386,437691;215,7439597;1093,230767;442,797939;590,0415909;848,6782666;0,0905;15752;5
2006;27;22390,30561;0,039473572;0,971322283;0,028677717;0,489074134;0,510925866;0,202547826;0,17787311;0,214997992;0,209928545;0,122590125;0,072062402;0,090256724;0,087616386;0,007959301;0,026263468;0,047216124;0,106356565;0,131138772;0,154399616;0,196729677;0,128102337;567222,6853;125,5238936;940,7240116;910,753419;268,3249523;1006,130422;441,8017941;589,8917809;683,3295107;0,084;17095;4,4
2006;28;25056,37615;0,059500416;0,957362458;0,042637542;0,491428381;0,508571619;0,194920283;0,177885004;0,208896482;0,208852613;0,125616222;0,083829396;0,090663192;0,087221812;0,010185036;0,023836487;0,052098978;0,11068337;0,137542693;0,142628251;0,207497891;0,119611805;421112,6193;114,2212268;862,2396561;1036,302357;215,8567467;940,3660254;421,2649821;449,0485237;704,7995867;0,076;17502;4,3
2006;29;17944,50331;0,020322249;0,985892813;0,014107187;0,483550178;0,516449822;0,176567827;0,174477811;0,200364288;0,206585746;0,143985962;0,098018367;0,09030966;0,084168151;0,01407005;0,025940641;0,049244096;0,105876399;0,130891217;0,116616359;0,241963027;0,137958914;882997,9026;124,0093546;929,4472814;662,6289805;167,0445644;985,9593069;325,0290846;412,0055087;465,7995209;0,07575;16664;3,9
2006;2A;12846,04985;0,094652525;0,921127888;0,078872112;0,483091753;0,516908247;0,154787097;0,15887647;0,210829863;0,213934697;0,163109096;0,098462777;0,079578023;0,079298447;0,00777985;0,040704194;0,043217642;0,092903054;0,16107696;0,089075222;0,225719456;0,184775233;135717,9838;95,05004158;795,76779;827,4511372;323,4648702;795,76779;358,0955055;1333,64787;590,1944442;0,08125;15777,5;6,7
2006;2B;14191,22271;0,089591065;0,918084855;0,081915145;0,489422673;0,510577327;0,153290905;0,173494147;0,211764492;0,209256228;0,156738418;0,095455811;0,090432843;0,083061304;0,011746976;0,040570737;0,041062607;0,086722891;0,148443122;0,089823074;0,212883327;0,215395968;158399,9772;77,02021308;711,4900012;777,7778895;260,7323607;855,4294158;382,5758125;1008,207216;430,5556174;0,09525;14413;7,4
2006;30;58494,47272;0,085621941;0,945256538;0,054743462;0,482083843;0,517916157;0,180810226;0,169527493;0,201956408;0,209718741;0,147417329;0,090569804;0,085684595;0,083842899;0,008656211;0,033379858;0,046762305;0,102584609;0,135139836;0,1035867;0,223621718;0,166201866;683171,5317;81,67787651;1044,686388;1814,332042;261,2813792;1429,948343;576,8682999;796,7252363;1009,995247;0,12025;15142;6,9
2006;31;103161,1081;0,086957601;0,948681286;0,051318714;0,486922949;0,513077051;0,175279201;0,224358397;0,222040741;0,191976877;0,113952123;0,072392661;0,112814663;0,111543734;0,004622635;0,026237639;0,102332403;0,134826012;0,13450512;0,085814537;0,175221012;0,160420421;1186338,025;95,84114952;1003,929719;1900,638733;213,598481;1581,673993;418,2619032;645,5158514;1099,51799;0,0915;18504;5,3
2006;32;11786,81967;0,064986317;0,959209295;0,040790705;0,48717127;0,51282873;0,154821629;0,132835176;0,192654161;0,22049522;0,17149085;0,127702965;0,068329042;0,064506134;0,044293636;0,034705121;0,04092038;0,092510924;0,124011712;0,104163333;0,294184979;0,11049774;181373,8671;129,566626;337,9759223;483,5316213;189,1121392;632,3954043;247,0036104;370,5054156;495,6612629;0,0625;15521;4,6
